ID;Пользователь;Тур;Количество человек;Статус;Сумма;Дата
36;"Даниил Филимонов";"Токио - Мегаполис будущего";1;confirmed;200000;"2026-04-18T14:12:33.836676"
35;"Даниил Филимонов";"Тур в Сочи";1;pending;45000;"2026-04-18T14:08:12.065178"
34;"Даниил Филимонов";"Рим - Вечный город";1;pending;120000;"2026-04-18T13:48:12.668992"
33;"Даниил Филимонов";"Тур в Сочи";1;pending;45000;"2026-04-18T13:29:05.342573"
32;"Админ Системный";"Бали - Рай на земле";1;cancelled;130000;"2026-04-16T15:04:46.171107"
31;"Даниил Филимонов";"Рим - Вечный город";1;cancelled;120000;"2026-04-16T01:39:15.913594"
29;"Админ Системный";"Тур в Казань";1;pending;32000;"2026-04-16T00:18:45.563138"
28;"Daniil Test";"Тур в Сочи";2;pending;85500;"2026-04-15T19:31:59.734963"
27;"Daniil Test";"Тур в Сочи";2;pending;85500;"2026-04-15T19:30:18.674925"
26;"Daniil Test";"Тур в Сочи";2;pending;85500;"2026-04-15T19:29:00.414319"
25;"Daniil Test";"Тур в Сочи";2;pending;85500;"2026-04-15T19:28:25.419374"
